Wall time,Step,Value
1768237586.8379462,3,0.0
1768237598.3167794,4,0.0
1768237668.0527008,10,0.0
1768237714.5495949,14,0.0003124999930150807
1768237726.1893158,15,0.0002929687616415322
1768237761.5536191,18,0.0007812499534338713
1768237773.351088,19,0.0017187499906867743
1768237785.1512704,20,0.0012499999720603228
1768237808.6898632,22,0.0006249999860301614
1768237820.3811388,23,0.0004101562371943146
1768237855.4834242,26,0.0
1768237867.170602,27,0.0
1768237995.9838178,38,0.0008007812430150807
1768238019.3721395,40,0.0006249999860301614
1768238101.15475,47,0.002714843489229679
1768238112.934931,48,0.0015625000232830644
1768238124.6443841,49,0.002363281324505806
1768238148.1106384,51,0.0036718747578561306
1768238183.2996237,54,0.004082031548023224
1768238218.500109,57,0.002792968647554517
1768238253.6004462,60,0.00439453125
1768238265.3332312,61,0.003007812425494194
1768238277.0778148,62,0.0031445310451090336
1768238288.853349,63,0.004257813096046448
1768238312.199161,65,0.0027539061848074198
1768238323.9546869,66,0.0022265624720603228
1768238335.6746266,67,0.003867187537252903
1768238347.4149039,68,0.0050195311196148396
1768238370.778779,70,0.005214843433350325
1768238382.514818,71,0.005253906361758709
1768238452.7741957,77,0.005546875298023224
1768238476.197354,79,0.0064843748696148396
1768238487.933693,80,0.007050781510770321
1768238511.246567,82,0.008906249888241291
1768238546.2887685,85,0.00673828087747097
1768238593.1781392,89,0.009531250223517418
1768238710.0777762,99,0.011289061978459358
1768238721.7413826,100,0.009433593600988388
1768238756.8258612,103,0.009414061903953552
1768238791.959281,106,0.013828124850988388
1768238803.6869938,107,0.010605469346046448
1768238827.1887388,109,0.006406249478459358
1768238909.004131,116,0.011386718600988388
1768238967.4710581,121,0.00927734375
1768239014.113022,125,0.012343750335276127
1768239025.7968044,126,0.009628906846046448
1768239049.2010462,128,0.010117188096046448
1768239072.6233897,130,0.010488281026482582
1768239084.3426137,131,0.00966796837747097
1768239142.5185137,136,0.0069726561196148396
1768239154.1780102,137,0.007890624925494194
1768239236.172908,144,0.012421874329447746
1768239259.645273,146,0.009121093899011612
1768239271.3070443,147,0.011015624739229679
1768239306.5233574,150,0.012519530951976776
1768239388.517899,157,0.007480468600988388
1768239423.5785315,160,0.010605468414723873
1768239447.0506098,162,0.01142578013241291
1768239470.48799,164,0.01064453087747097
1768239540.7919624,170,0.00937500037252903
1768239552.5443945,171,0.00917968712747097
1768239564.289889,172,0.009296874515712261
1768239599.2891812,175,0.008242187090218067
1768239610.9455855,176,0.0059960936196148396
